Date;Consumptieprijsindex;Gezondheidsindex
01/01/1994;67,95;69,81
01/02/1994;68,18;70,02
01/03/1994;68,17;69,97
01/04/1994;68,3;70,08
01/05/1994;68,5;70,28
01/06/1994;68,65;70,41
01/07/1994;69,07;70,89
01/08/1994;69,18;70,97
01/09/1994;69,06;70,88
01/10/1994;68,92;70,77
01/11/1994;68,92;70,77
01/12/1994;68,94;70,8
01/01/1995;69,23;71,12
01/02/1995;69,42;71,36
01/03/1995;69,36;71,29
01/04/1995;69,47;71,36
01/05/1995;69,45;71,32
01/06/1995;69,52;71,36
01/07/1995;69,89;71,85
01/08/1995;70,07;72,06
01/09/1995;69,89;71,81
01/10/1995;69,76;71,7
01/11/1995;69,93;71,81
01/12/1995;69,94;71,79
01/01/1996;70,58;72,35
01/02/1996;70,72;72,49
01/03/1996;70,77;72,51
01/04/1996;70,89;72,52
01/05/1996;70,77;72,37
01/06/1996;70,77;72,43
01/07/1996;71,24;72,94
01/08/1996;71,41;73,14
01/09/1996;71,27;72,92
01/10/1996;71,47;73,04
01/11/1996;71,58;73,11
01/12/1996;71,71;73,21
01/01/1997;72,21;73,69
01/02/1997;72,12;73,57
01/03/1997;71,8;73,22
01/04/1997;71,78;73,23
01/05/1997;71,89;73,31
01/06/1997;72,01;73,44
01/07/1997;72,59;74,11
01/08/1997;72,73;74,15
01/09/1997;72,42;73,84
01/10/1997;72,41;73,86
01/11/1997;72,6;74,07
01/12/1997;72,53;74,05
01/01/1998;72,5;74,11
01/02/1998;72,65;74,29
01/03/1998;72,53;74,2
01/04/1998;72,85;74,56
01/05/1998;73,22;74,96
01/06/1998;73,14;74,88
01/07/1998;73,32;75,07
01/08/1998;73,04;74,77
01/09/1998;73,01;74,75
01/10/1998;73,02;74,76
01/11/1998;73,01;74,75
01/12/1998;72,95;74,75
01/01/1999;73,19;75,01
01/02/1999;73,36;75,19
01/03/1999;73,41;75,2
01/04/1999;73,71;75,38
01/05/1999;73,83;75,5
01/06/1999;73,68;75,37
01/07/1999;73,8;75,39
01/08/1999;73,71;75,2
01/09/1999;73,88;75,35
01/10/1999;73,98;75,44
01/11/1999;74,13;75,57
01/12/1999;74,37;75,71
01/01/2000;74,5;75,9
01/02/2000;74,79;76,1
01/03/2000;75,07;76,27
01/04/2000;75,21;76,48
01/05/2000;75,43;76,57
01/06/2000;75,71;76,73
01/07/2000;75,86;76,92
01/08/2000;75,84;76,96
01/09/2000;76,36;77,29
01/10/2000;76,17;77,18
01/11/2000;76,42;77,47
01/12/2000;76,22;77,44
01/01/2001;76,14;77,5
01/02/2001;76,47;77,75
01/03/2001;76,64;77,98
01/04/2001;77,31;78,56
01/05/2001;77,79;78,94
01/06/2001;77,93;79,19
01/07/2001;77,87;79,27
01/08/2001;77,86;79,32
01/09/2001;78,09;79,45
01/10/2001;77,96;79,49
01/11/2001;78,05;79,64
01/12/2001;77,89;79,5
01/01/2002;78,36;80,01
01/02/2002;78,48;80,12
01/03/2002;78,69;80,3
01/04/2002;78,71;80,14
01/05/2002;78,83;80,31
01/06/2002;78,61;80,12
01/07/2002;78,87;80,38
01/08/2002;78,85;80,34
01/09/2002;79,07;80,51
01/10/2002;78,97;80,37
01/11/2002;78,91;80,39
01/12/2002;78,95;80,46
01/01/2003;79,3;80,74
01/02/2003;79,85;81,19
01/03/2003;80,08;81,38
01/04/2003;79,88;81,32
01/05/2003;79,65;81,2
01/06/2003;79,88;81,4
01/07/2003;80,04;81,56
01/08/2003;80,25;81,66
01/09/2003;80,49;81,86
01/10/2003;80,23;81,62
01/11/2003;80,37;81,78
01/12/2003;80,32;81,75
01/01/2004;80,56;82
01/02/2004;80,86;82,26
01/03/2004;80,98;82,28
01/04/2004;81,41;82,61
01/05/2004;81,73;82,73
01/06/2004;81,69;82,71
01/07/2004;81,97;82,97
01/08/2004;82,07;82,99
01/09/2004;82,12;83,03
01/10/2004;82,52;83,33
01/11/2004;82,42;83,32
01/12/2004;82,15;83,15
01/01/2005;82,38;83,46
01/02/2005;82,93;83,9
01/03/2005;83,47;84,35
01/04/2005;83,66;84,33
01/05/2005;83,78;84,49
01/06/2005;84,04;84,64
01/07/2005;84,54;84,98
01/08/2005;84,62;84,99
01/09/2005;84,72;84,9
01/10/2005;84,56;84,76
01/11/2005;84,54;85,02
01/12/2005;84,53;85,09
01/01/2006;84,54;85,13
01/02/2006;84,91;85,54
01/03/2006;84,88;85,47
01/04/2006;85,29;85,78
01/05/2006;85,61;86,07
01/06/2006;85,6;86,05
01/07/2006;85,89;86,32
01/08/2006;86;86,43
01/09/2006;85,75;86,41
01/10/2006;85,58;86,38
01/11/2006;85,79;86,59
01/12/2006;85,91;86,68
01/01/2007;85,95;86,87
01/02/2007;86,41;87,32
01/03/2007;86,42;87,13
01/04/2007;86,81;87,42
01/05/2007;86,71;87,22
01/06/2007;86,7;87,17
01/07/2007;87,07;87,52
